"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1825","test_shop_by_category_data[data0]","tests","2026-05-22","passed","2026-05-22","","test_positive_negative","",""
"","62700","test_proceed_after_adding_product_to_cart","tests","2026-05-22","passed","2026-05-22","","test_e2e","",""
"","18517","test_click_health_monitors_category","tests","2026-05-22","passed","2026-05-22","","test_e2e","",""
"","1457","test_shop_by_category_data[data2]","tests","2026-05-22","passed","2026-05-22","","test_positive_negative","",""
"","21342","test_login[data0]","tests","2026-05-22","passed","2026-05-22","","test_e2e","",""
"","4219","test_shop_by_category_data[data3]","tests","2026-05-22","passed","2026-05-22","","test_positive_negative","",""
"","38748","test_apply_doctor_s_choice_filter_after_health_monitors","tests","2026-05-22","passed","2026-05-22","","test_e2e","",""
"","3829","test_shop_by_category_data[data4]","tests","2026-05-22","passed","2026-05-22","","test_positive_negative","",""
"","49736","test_add_doctor_s_choice_product_to_cart","tests","2026-05-22","passed","2026-05-22","","test_e2e","",""
"","1686","test_shop_by_category_data[data1]","tests","2026-05-22","passed","2026-05-22","","test_positive_negative","",""
