"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34499","Apply Doctor S Choice filter","","2026-05-23","passed","2026-05-23","","","",""
"","3799","Validate category visibility -- @1.5 ","","2026-05-23","passed","2026-05-23","","","",""
"","2127","Validate category visibility -- @1.2 ","","2026-05-23","passed","2026-05-23","","","",""
"","58070","Proceed after adding product to cart","","2026-05-23","passed","2026-05-23","","","",""
"","3809","Validate category visibility -- @1.4 ","","2026-05-23","passed","2026-05-23","","","",""
"","1612","Validate category visibility -- @1.3 ","","2026-05-23","passed","2026-05-23","","","",""
"","2620","Validate category visibility -- @1.1 ","","2026-05-23","passed","2026-05-23","","","",""
"","26551","Login with valid mobile number and OTP","","2026-05-23","passed","2026-05-23","","","",""
"","18175","Open Health Monitors category","","2026-05-23","passed","2026-05-23","","","",""
"","46008","Add Doctor S Choice product to cart","","2026-05-23","passed","2026-05-23","","","",""
